Date,Close,High,Low,Open,Volume,rsi,stoch_k,macd,macd_signal,sma_20,ema_20,bb_upper,bb_lower,atr,adx,target
2020-02-20,77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000,53.041382440418275,73.09017760061849,0.843612913279614,0.9505279326325422,77.4213493347168,77.34410223831333,80.04291716056785,74.79978150886573,1.6288113826076103,13.975330878568636,0
2020-02-21,75.87117004394531,77.66464882542346,75.25315194781216,77.22112369135226,129554000,46.13954362905814,44.89708545934339,0.6258942918345838,0.8856012044729505,77.35561904907226,77.20382298170685,80.06206471974849,74.64917337839603,1.684717489393588,14.026662472649907,0
2020-02-24,72.26725769042969,73.72142482703582,70.09812948275813,72.04428953806494,222195200,35.83893302521197,23.558792342163056,0.16069274208199147,0.7406195119947587,77.12081489562988,76.73367390634712,80.62107545997696,73.62055433128279,1.9767405659502735,15.870778870279562,0
2020-02-25,69.81941986083984,73.32154259168735,69.34681990026353,72.93861510277681,230673600,30.80802240400321,4.745642986412696,-0.4008817775157496,0.5123192540926571,76.87677459716797,76.07517352106072,81.51399628209823,72.2395529122377,2.1194535749126695,17.773210563589906,1
2020-02-26,70.927001953125,72.19455366055257,69.43648208910632,69.4437526290761,198054800,35.237887524911216,15.86750000417382,-0.7479392339127031,0.26026755649158506,76.5824535369873,75.5848714669716,81.8962545900456,71.268652483929,2.1650691460936398,19.539754278806658,0
2020-02-27,66.29063415527344,69.31530465753468,66.15491247212168,68.12773623181833,320605600,27.34551599655174,1.0320636371514658,-1.381179524264141,-0.06802185965956012,75.97591934204101,74.69970600871464,82.85145360546804,69.10038507861398,2.351284884301474,21.93179392531322,0
2020-02-28,66.2518539428711,67.4757824380709,62.134139530313654,62.34984454807426,426510000,27.29045735952316,23.980230443898552,-1.8646615974745515,-0.42734980722255844,75.37312736511231,73.8951486691105,83.35082090320893,67.3954338270157,2.564881885976886,24.805649636635245,1
2020-03-02,72.41993713378906,73.0573481636442,67.30854119181632,68.4137074821739,341397200,45.93591072224088,59.901142264367536,-1.7301675644183092,-0.6879133586617087,75.25234336853028,73.75465233241322,83.33143503384085,67.1732517032197,2.8677827670337592,24.864551637086,0
2020-03-03,70.11994171142578,73.6778022281249,69.26682558358837,73.59782628927844,319475600,41.64718189537535,46.50671644406693,-1.7885531555238288,-0.9080413180341327,75.02683563232422,73.4084894161287,83.40891045213965,66.64476081250879,2.9780109011411002,24.68357745575954,1
2020-03-04,73.37242889404297,73.53238817702517,71.04334126232827,71.84555625982283,219178400,48.911175769171614,66.38512294885003,-1.5544568131267908,-1.0373244170526643,74.84076118469238,73.40505508069197,83.19621030725253,66.48531206213224,3.009042012888121,24.515530001670687,0
